Date,Fx
1996-02,1.37550001
1996-03,1.36533810
1996-04,1.35909524
1996-05,1.36904545
1996-06,1.36549500
1996-07,1.36934545
1996-08,1.37182857
1996-09,1.36924500
1996-10,1.35063636
1996-11,1.33837000
1996-12,1.36181500
1997-01,1.34861364
1997-02,1.35520000
1997-03,1.37183500
1997-04,1.39398182
1997-05,1.38047143
1997-06,1.38398095
1997-07,1.37710455
1997-08,1.39045000
1997-09,1.38690952
1997-10,1.38667727
1997-11,1.41325263
1997-12,1.42670000
1998-01,1.44080952
1998-02,1.43397000
1998-03,1.41627727
1998-04,1.42980952
1998-05,1.44499500
1998-06,1.46530455
1998-07,1.48762727
1998-08,1.53529000
1998-09,1.52134762
1998-10,1.54504286
1998-11,1.53937000
1998-12,1.54221905
1999-01,1.51920500
1999-02,1.49727500
1999-03,1.51750000
1999-04,1.48737619
1999-05,1.46204500
1999-06,1.46909545
1999-07,1.48878095
1999-08,1.49234762
1999-09,1.47682381
1999-10,1.47730500
1999-11,1.46745238
1999-12,1.47325238
2000-01,1.44893000
2000-02,1.45106667
2000-03,1.46058261
2000-04,1.46841579
2000-05,1.49546818
2000-06,1.47684091
2000-07,1.47785500
2000-08,1.48245000
2000-09,1.48616500
2000-10,1.51229524
2000-11,1.54222381
2000-12,1.52243684
2001-01,1.50315455
2001-02,1.52181500
2001-03,1.55850000
2001-04,1.55748500
2001-05,1.54145455
2001-06,1.52439524
2001-07,1.53036667
2001-08,1.54015909
2001-09,1.56767895
2001-10,1.57117727
2001-11,1.59242381
2001-12,1.57746842
2002-01,1.60028636
2002-02,1.59584500
2002-03,1.58702500
2002-04,1.58135909
2002-05,1.54965455
2002-06,1.53168500
2002-07,1.54593636
2002-08,1.56793810
2002-09,1.57584500
2002-10,1.57781364
2002-11,1.57141000
2002-12,1.55931500
2003-01,1.54101818
2003-02,1.51235000
2003-03,1.47590952
2003-04,1.45848095
2003-05,1.38449524
2003-06,1.35227143
2003-07,1.38151818
2003-08,1.39565000
2003-09,1.36322381
2003-10,1.32184545
2003-11,1.31257895
2003-12,1.31283333
2004-01,1.29599048
2004-02,1.32896000
2004-03,1.32835652
2004-04,1.34245238
2004-05,1.37832500
2004-06,1.35765909
2004-07,1.32194286
2004-08,1.31177143
2004-09,1.28779524
2004-10,1.24694000
2004-11,1.19607619
2004-12,1.21910952
2005-01,1.22533500
2005-02,1.23967000
2005-03,1.21610000
2005-04,1.23601905
2005-05,1.25550952
2005-06,1.24021364
2005-07,1.22274500
2005-08,1.20402273
2005-09,1.17759048
2005-10,1.17757500
2005-11,1.18107619
2005-12,1.16100500
2006-01,1.15728571
2006-02,1.14889000
2006-03,1.15740435
2006-04,1.14377368
2006-05,1.10946364
2006-06,1.11384545
2006-07,1.12924000
2006-08,1.11826364
2006-09,1.11617500
2006-10,1.12860000
2006-11,1.13619524
2006-12,1.15300000
2007-01,1.17593182
2007-02,1.17066000
2007-03,1.16822727
2007-04,1.13425000
2007-05,1.09490000
2007-06,1.06516667
2007-07,1.05033810
2007-08,1.05822273
2007-09,1.02535263
2007-10,0.97523182
2007-11,0.96711905
2007-12,1.00314737
2008-01,1.01113182
2008-02,0.99908571
2008-03,1.00202500
2008-04,1.01388636
2008-05,0.99937143
2008-06,1.01673333
2008-07,1.01269545
2008-08,1.05439500
2008-09,1.05829524
2008-10,1.18475000
2008-11,1.21817368
2008-12,1.23450000
2009-01,1.22630000
2009-02,1.24514000
2009-03,1.26451364
2009-04,1.22404286
2009-05,1.15092000
2009-06,1.12653182
2009-07,1.12217727
2009-08,1.08821000
2009-09,1.08176190
2009-10,1.05485238
2009-11,1.05957500
2009-12,1.05440000
2010-01,1.04293500
2010-02,1.05682000
2010-03,1.02300435
2010-04,1.00506190
2010-05,1.03992000
2010-06,1.03793182
2010-07,1.04268571
2010-08,1.04138571
2010-09,1.03308571
2010-10,1.01797500
2010-11,1.01280000
2010-12,1.00774762
2011-01,0.99384500
2011-02,0.98755500
2011-03,0.97659130
2011-04,0.95821500
2011-05,0.96797619
2011-06,0.97675000
2011-07,0.95530000
2011-08,0.98283636
2011-09,1.00260000
2011-10,1.01982500
2011-11,1.02581905
2011-12,1.02378500
2012-01,1.01326190
2012-02,0.99652857
2012-03,0.99385455
2012-04,0.99263000
2012-05,1.00984091
2012-06,1.02807143
2012-07,1.01393333
2012-08,0.99214091
2012-09,0.97829474
2012-10,0.98720455
2012-11,0.99704762
2012-12,0.98956842
2013-01,0.99213182
2013-02,1.00984737
2013-03,1.02473000
2013-04,1.01869545
2013-05,1.01985909
2013-06,1.03146500
2013-07,1.04032273
2013-08,1.04086190
2013-09,1.03424000
2013-10,1.03635000
2013-11,1.04923000
2013-12,1.06391500
2014-01,1.09419091
2014-02,1.10551053
2014-03,1.11071429
2014-04,1.09912857
2014-05,1.08937143
2014-06,1.08307143
2014-07,1.07391818
2014-08,1.09272500
2014-09,1.10118095
2014-10,1.12125455
2014-11,1.13264737
2014-12,1.15325238
2015-01,1.21151905
2015-02,1.25000526
2015-03,1.26191364
2015-04,1.23311429
2015-05,1.21848500
2015-06,1.23660455
2015-07,1.28645909
2015-08,1.31487000
2015-09,1.32669524
2015-10,1.30726667
2015-11,1.32803500
2015-12,1.37046667
2016-01,1.42231500
2016-02,1.37961000
2016-03,1.32261818
2016-04,1.28185714
2016-05,1.29420952
2016-06,1.28955909
2016-07,1.30503000
2016-08,1.29943636
2016-09,1.31086667
2016-10,1.32514500
2016-11,1.34380000
2016-12,1.33293500
2017-01,1.3193
2017-02,1.3107
2017-03,1.3386
2017-04,1.3440
2017-05,1.3607
2017-06,1.3298
2017-07,1.2689
2017-08,1.2605
2017-09,1.2283
2017-10,1.2605
2017-11,1.2769
2017-12,1.2771
2018-01,1.2427
2018-02,1.2586
2018-03,1.2932
2018-04,1.2733
2018-05,1.2873
2018-06,1.3129
2018-07,1.3130
2018-08,1.3041
2018-09,1.3037
2018-10,1.3010
2018-11,1.3200
2018-12,1.3432
